t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
47	0.0439968	0.0446912	0.0238528	0.0444	0.0442176	0.0486208	0.0494176	0.0267232	0.0494688	0.0492192	0.0389728	0.387059	0.038848	0.0233952	0.0448352	0.0252736	0.0490816	0.0260768	0.984462	1.01578	1.00412	0.995892	0.983876	1.01639	1.00507	0.994954	0.533725	1.87362	0.542149	1.84451	0.540763	1.84924	0.549625	1.81942	0.602224	1.66051	0.5637	1.77399	0.531295	1.88219	0.410912	0.431056	0.43175
48	0.0423136	0.0421984	0.023552	0.042192	0.042272	0.0472448	0.0474656	0.0260928	0.0474592	0.0475744	0.0375936	0.392976	0.0376128	0.0231488	0.0425888	0.0241504	0.0477536	0.0250816	1.00273	0.997277	0.998108	1.0019	0.995348	1.00467	0.997579	1.00243	0.558125	1.79171	0.556606	1.7966	0.54972	1.81911	0.552289	1.81064	0.61545	1.62483	0.56706	1.76348	0.52523	1.90393	0.416528	0.43529	0.435174
49	0.0518752	0.0523552	0.0287104	0.052144	0.0520608	0.0607936	0.0623328	0.0339712	0.0607936	0.0606624	0.0444128	0.406547	0.0444288	0.0272288	0.0520864	0.0320992	0.060592	0.033552	0.990832	1.00925	1.0016	0.998404	0.975307	1.02532	1.00216	0.997842	0.548377	1.82356	0.553451	1.80684	0.544997	1.83487	0.558796	1.78956	0.612864	1.63168	0.616268	1.62267	0.553736	1.80591	0.435258	0.458422	0.458902
50	0.0520128	0.0522624	0.0284672	0.0521856	0.0521088	0.0614208	0.0621952	0.035456	0.0621664	0.061024	0.0444128	0.416016	0.0443744	0.027168	0.052304	0.0341088	0.0615072	0.0353536	0.995224	1.0048	1.00147	0.998528	0.987549	1.01261	1.01872	0.981623	0.544697	1.83588	0.547311	1.82711	0.570076	1.75415	0.577264	1.73231	0.612245	1.63333	0.652126	1.53345	0.574788	1.73977	0.444483	0.468029	0.468278
51	0.05408	0.0529792	0.0286336	0.0529344	0.0532448	0.0634112	0.0630752	0.0357792	0.0625472	0.0623072	0.045472	0.428733	0.0451232	0.027344	0.054208	0.0343168	0.0628288	0.0355104	1.02078	0.979645	0.99417	1.00586	1.00533	0.994701	1.00385	0.996163	0.540469	1.85025	0.529467	1.88869	0.567247	1.7629	0.564241	1.77229	0.605985	1.6502	0.633058	1.57963	0.565193	1.76931	0.457366	0.482813	0.481712
52	0.0542624	0.0542656	0.0280544	0.0543264	0.0548288	0.0637184	0.063616	0.0358016	0.0638016	0.0632288	0.0460416	0.433328	0.045776	0.027232	0.0550016	0.0335296	0.0639296	0.0348064	0.999941	1.00006	0.990837	1.00925	1.00161	0.998393	1.00906	0.991022	0.516983	1.9343	0.517014	1.93418	0.562777	1.7769	0.561872	1.77976	0.594897	1.68096	0.609611	1.64039	0.544449	1.83672	0.461382	0.48759	0.487594
53	0.0565024	0.0564768	0.0285536	0.0566432	0.0563328	0.0656416	0.0652704	0.036	0.0654816	0.0650432	0.048816	0.443398	0.048704	0.0273472	0.0562752	0.033504	0.0651744	0.0356992	1.00045	0.999547	1.00551	0.99452	1.00569	0.994345	1.00674	0.993305	0.505581	1.97792	0.505352	1.97882	0.551552	1.81307	0.548433	1.82338	0.561498	1.78095	0.59536	1.67966	0.547749	1.82565	0.471952	0.499901	0.499875
54	0.0569568	0.0571392	0.0365088	0.0569152	0.0570624	0.0668672	0.0673184	0.0420352	0.067408	0.0672	0.0490176	0.452416	0.0487264	0.0352832	0.0571424	0.0404192	0.067472	0.0421056	0.996808	1.0032	0.99742	1.00259	0.993298	1.00675	1.0031	0.996914	0.638945	1.56508	0.640991	1.56008	0.624424	1.60148	0.628637	1.59074	0.724108	1.38101	0.707342	1.41374	0.624046	1.60245	0.488925	0.509373	0.509555
55	0.0578688	0.0578048	0.0370144	0.0568672	0.0575936	0.067952	0.0679232	0.0434464	0.067856	0.0678336	0.0496128	0.462326	0.0494848	0.0360128	0.0579392	0.041984	0.068176	0.0440288	1.00111	0.998894	0.987387	1.01277	1.00042	0.999576	1.00033	0.99967	0.640334	1.56168	0.639626	1.56341	0.63964	1.56338	0.639369	1.56404	0.727755	1.37409	0.724622	1.38003	0.645811	1.54844	0.499341	0.520195	0.520131
56	0.05664	0.0571552	0.0372608	0.0569696	0.0570048	0.0670464	0.0671872	0.044336	0.067152	0.0671872	0.0486944	0.47135	0.0486336	0.035952	0.056976	0.0410176	0.0670048	0.0424288	0.990986	1.0091	0.999383	1.00062	0.997904	1.0021	0.999476	1.00052	0.651923	1.53392	0.657853	1.5201	0.659888	1.51541	0.661273	1.51223	0.739242	1.35274	0.71991	1.38906	0.63322	1.57923	0.508611	0.52799	0.528506
